FullName;Age;PhotoUrl;Nationality;BestPosition;Club
Pierre-Emerick Aubameyang;32;https://cdn.sofifa.com/players/188/567/22_60.png;Gabon;ST;Arsenal
Jorge Resurrección;29;https://cdn.sofifa.com/players/193/747/22_60.png;Spain;CM;Atlético de Madrid
Thiago Emiliano da Silva;36;https://cdn.sofifa.com/players/164/240/22_60.png;Brazil;CB;Chelsea
Serge Gnabry;25;https://cdn.sofifa.com/players/206/113/22_60.png;Germany;RM;FC Bayern München
Stefan de Vrij;29;https://cdn.sofifa.com/players/198/176/22_60.png;Netherlands;CB;Inter
Matthijs de Ligt;21;https://cdn.sofifa.com/players/235/243/22_60.png;Netherlands;CB;Juventus
Achraf Hakimi;22;https://cdn.sofifa.com/players/235/212/22_60.png;Morocco;RB;Paris Saint-Germain
Marcus Rashford;23;https://cdn.sofifa.com/players/231/677/22_60.png;England;CAM;Manchester United
Lautaro Martínez;23;https://cdn.sofifa.com/players/231/478/22_60.png;Argentina;ST;Inter
Mikel Oyarzabal Ugarte;24;https://cdn.sofifa.com/players/230/142/22_60.png;Spain;LW;Real Sociedad
Wilfred Ndidi;24;https://cdn.sofifa.com/players/226/790/22_60.png;Nigeria;CB;Leicester City
Sergej Milinković-Savić;26;https://cdn.sofifa.com/players/223/848/22_60.png;Serbia;CM;Lazio
Luiz Frello Filho Jorge;29;https://cdn.sofifa.com/players/205/498/22_60.png;Italy;CM;Chelsea
Daniel Carvajal Ramos;29;https://cdn.sofifa.com/players/204/963/22_60.png;Spain;RB;Real Madrid CF
Lucas Digne;27;https://cdn.sofifa.com/players/200/458/22_60.png;France;LB;Everton
David Alaba;29;https://cdn.sofifa.com/players/197/445/22_60.png;Austria;CB;Real Madrid CF
Luis Alberto Romero Alconchel;28;https://cdn.sofifa.com/players/198/706/22_60.png;Spain;CAM;Lazio
Dušan Tadić;32;https://cdn.sofifa.com/players/199/434/22_60.png;Serbia;LW;Ajax
Wissam Ben Yedder;30;https://cdn.sofifa.com/players/199/451/22_60.png;France;CF;AS Monaco
Phil Foden;21;https://cdn.sofifa.com/players/237/692/22_60.png;England;CAM;Manchester City
Josip Iličić;33;https://cdn.sofifa.com/players/200/647/22_60.png;Slovenia;CAM;Atalanta
Emiliano Martínez;28;https://cdn.sofifa.com/players/202/811/22_60.png;Argentina;GK;Aston Villa
Iago Aspas Juncal;33;https://cdn.sofifa.com/players/192/629/22_60.png;Spain;ST;RC Celta de Vigo
Harry Maguire;28;https://cdn.sofifa.com/players/203/263/22_60.png;England;CB;Manchester United
David De Gea Quintana;30;https://cdn.sofifa.com/players/193/080/22_60.png;Spain;GK;Manchester United
